Abil/EditorSuffix/attack2=
Abil/EditorSuffix/attack22=
Abil/EditorSuffix/attack222=
Abil/EditorSuffix/move2=
Abil/EditorSuffix/move22=
Abil/EditorSuffix/move222=
Abil/EditorSuffix/stop2=
Abil/EditorSuffix/stop22=
Abil/EditorSuffix/stop222=
Actor/Name/BEAMActorRotator=BEAM Actor Rotator
Model/Name/ProtossSmallUnitDeathLow2=Protoss Small Unit Death Low
Model/Name/ProtossSmallUnitDeathLow22=Protoss Small Unit Death Low
Model/Name/ProtossSmallUnitDeathLow222=Protoss Small Unit Death Low
Model/Name/PurifierPlanetCrackerBeam2=Purifier Planet Cracker Beam Small
Model/Name/PurifierPlanetCrackerBeam22=Purifier Planet Cracker Beam Medium
Model/Name/PurifierPlanetCrackerBeam222=Purifier Planet Cracker Beam Large
Model/Name/SpartanCompany2=Spartan Company
Model/Name/SpartanCompany22=Spartan Company
Model/Name/SpartanCompany222=Spartan Company
Model/Name/SpartanCompanyAirAttackImpact2=Spartan Company Air Attack Impact
Model/Name/SpartanCompanyAirAttackImpact22=Spartan Company Air Attack Impact
Model/Name/SpartanCompanyAirAttackImpact222=Spartan Company Air Attack Impact
Model/Name/SpartanCompanyAirAttackLaunch2=Spartan Company Air Attack Launch
Model/Name/SpartanCompanyAirAttackLaunch22=Spartan Company Air Attack Launch
Model/Name/SpartanCompanyAirAttackLaunch222=Spartan Company Air Attack Launch
Model/Name/SpartanCompanyDeath2=Spartan Company Death
Model/Name/SpartanCompanyDeath22=Spartan Company Death
Model/Name/SpartanCompanyDeath222=Spartan Company Death
Model/Name/SpartanCompanyGroundAttackImpact2=Spartan Company Ground Attack Impact
Model/Name/SpartanCompanyGroundAttackImpact22=Spartan Company Ground Attack Impact
Model/Name/SpartanCompanyGroundAttackImpact222=Spartan Company Ground Attack Impact
Model/Name/SpartanCompanyGroundAttackLaunch2=Spartan Company Ground Attack Launch
Model/Name/SpartanCompanyGroundAttackLaunch22=Spartan Company Ground Attack Launch
Model/Name/SpartanCompanyGroundAttackLaunch222=Spartan Company Ground Attack Launch
Model/Name/StimpackEndImpact2=Stimpack End Impact Bigger
Model/Name/StimpackStartImpact2=Stimpack Start Impact Bigger
Model/Name/TerranSmallUnitDeathLow2=Terran Small Unit Death Low
Model/Name/TerranSmallUnitDeathLow22=Terran Small Unit Death Low
Model/Name/TerranSmallUnitDeathLow222=Terran Small Unit Death Low
Model/Name/TimeWarp2=Time Warp Smaller
Model/Name/ZergSmallUnitDeathLow2=Zerg Small Unit Death Low
Model/Name/ZergSmallUnitDeathLow22=Zerg Small Unit Death Low
Model/Name/ZergSmallUnitDeathLow222=Zerg Small Unit Death Low
Mover/Name/GoliathMissile2=Goliath Missile
Mover/Name/GoliathMissile22=Goliath Missile
Mover/Name/GoliathMissile222=Goliath Missile
Mover/Name/Ground2=Ground
Mover/Name/Ground22=Ground
Mover/Name/Ground222=Ground
Requirement/EditorSuffix/UseAresClassWeaponsSystem2=(Campaign)
Requirement/EditorSuffix/UseAresClassWeaponsSystem22=(Campaign)
Requirement/EditorSuffix/UseAresClassWeaponsSystem222=(Campaign)
Requirement/EditorSuffix/UseMultilockTargetingSystems2=(Campaign)
Requirement/EditorSuffix/UseMultilockTargetingSystems22=(Campaign)
Requirement/EditorSuffix/UseMultilockTargetingSystems222=(Campaign)
Requirement/Name/UseAresClassWeaponsSystem2=Use Ares Class Weapons System
Requirement/Name/UseAresClassWeaponsSystem22=Use Ares Class Weapons System
Requirement/Name/UseAresClassWeaponsSystem222=Use Ares Class Weapons System
Requirement/Name/UseMultilockTargetingSystems2=Use Multilock Targeting Systems
Requirement/Name/UseMultilockTargetingSystems22=Use Multilock Targeting Systems
Requirement/Name/UseMultilockTargetingSystems222=Use Multilock Targeting Systems
Sound/EditorPrefix/GoliathGroundAttackLaunch2=
Sound/EditorPrefix/GoliathGroundAttackLaunch22=
Sound/EditorPrefix/GoliathGroundAttackLaunch222=
Sound/Name/GoliathGroundAttackLaunch2=Goliath_GroundAttackLaunch
Sound/Name/GoliathGroundAttackLaunch22=Goliath_GroundAttackLaunch
Sound/Name/GoliathGroundAttackLaunch222=Goliath_GroundAttackLaunch
Sound/Name/Goliath_Attack2=Goliath_Attack
Sound/Name/Goliath_Attack22=Goliath_Attack
Sound/Name/Goliath_Attack222=Goliath_Attack
Sound/Name/Goliath_Explode2=Goliath_Explode
Sound/Name/Goliath_Explode22=Goliath_Explode
Sound/Name/Goliath_Explode222=Goliath_Explode
Sound/Name/Goliath_GroundAttackImpact2=Goliath_GroundAttackImpact
Sound/Name/Goliath_GroundAttackImpact22=Goliath_GroundAttackImpact
Sound/Name/Goliath_GroundAttackImpact222=Goliath_GroundAttackImpact
Sound/Name/Goliath_Help2=Goliath_Help
Sound/Name/Goliath_Help22=Goliath_Help
Sound/Name/Goliath_Help222=Goliath_Help
Sound/Name/Goliath_Pissed2=Goliath_Pissed
Sound/Name/Goliath_Pissed22=Goliath_Pissed
Sound/Name/Goliath_Pissed222=Goliath_Pissed
Sound/Name/Goliath_Ready2=Goliath_Ready
Sound/Name/Goliath_Ready22=Goliath_Ready
Sound/Name/Goliath_Ready222=Goliath_Ready
Sound/Name/Goliath_What2=Goliath_What
Sound/Name/Goliath_What22=Goliath_What
Sound/Name/Goliath_What222=Goliath_What
Sound/Name/Goliath_Yes2=Goliath_Yes
Sound/Name/Goliath_Yes22=Goliath_Yes
Sound/Name/Goliath_Yes222=Goliath_Yes
Sound/Name/VikingFighter_AttackImpact2=VikingFighter_AttackImpact
Sound/Name/VikingFighter_AttackImpact22=VikingFighter_AttackImpact
Sound/Name/VikingFighter_AttackImpact222=VikingFighter_AttackImpact
Sound/Name/VikingFighter_AttackLaunch2=VikingFighter_AttackLaunch
Sound/Name/VikingFighter_AttackLaunch22=VikingFighter_AttackLaunch
Sound/Name/VikingFighter_AttackLaunch222=VikingFighter_AttackLaunch
Turret/Name/FreeRotate2=Free Rotate
Turret/Name/FreeRotate22=Free Rotate
Turret/Name/FreeRotate222=Free Rotate
Turret/Name/SpartanCompany2=Spartan Company
Turret/Name/SpartanCompany22=Spartan Company
Turret/Name/SpartanCompany222=Spartan Company
Unit/EditorPrefix/SpartanCompany2=Merc -
Unit/EditorPrefix/SpartanCompany22=Merc -
Unit/EditorPrefix/SpartanCompany222=Merc -
Unit/EditorPrefix/SpartanCompanyAWeapon2=Weapon -
Unit/EditorPrefix/SpartanCompanyAWeapon22=Weapon -
Unit/EditorPrefix/SpartanCompanyAWeapon222=Weapon -
Unit/EditorPrefix/WarPig2=Merc -
Unit/EditorPrefix/WarPig4=Merc -
Unit/EditorPrefix/WarPig5=Merc -
Unit/EditorSuffix/SpartanCompany2=(Merc Goliath)
Unit/EditorSuffix/SpartanCompany22=(Merc Goliath)
Unit/EditorSuffix/SpartanCompany222=(Merc Goliath)
Unit/EditorSuffix/WarPig2=(Merc Marine)
Unit/EditorSuffix/WarPig4=(Merc Marine)
Unit/EditorSuffix/WarPig5=(Merc Marine)
Weapon/EditorPrefix/WraithG2=Wraith -
